,count,mean,std,min,25%,50%,75%,max
fin13am_s,25.0,0.34051888014324744,0.09526919953817933,0.118283926250531,0.279440779066761,0.331679104721747,0.349236869032201,0.54783086951664
fin13alm_s,25.0,0.3827530026988636,0.10604059568740334,0.135407023984955,0.30745690090846,0.419050770347952,0.469154998937916,0.515627010160503
fin13bm_s,23.0,0.2865394386564097,0.07725283543707476,0.102874918710541,0.23314385369323148,0.270109108532394,0.3284615847747795,0.446328314237235
fin13blm_s,25.0,0.4171658793527397,0.11788927361495401,0.148230892881587,0.355317396488427,0.455901631934743,0.516229255916383,0.588193385306815
fin13cm_s,22.0,0.290561480351591,0.0711411289347469,0.18161085712087,0.23651942781970725,0.2794027049704785,0.3385111515287005,0.464086301926303
fin13clm_s,24.0,0.3879929809023077,0.11005131923137867,0.133487603098662,0.32897646025886373,0.4133840975893815,0.47073624888149845,0.533177050072197
fin21_s,17.0,0.7929172550638107,0.08697877974001345,0.584751037286293,0.7735850043232,0.796851973521364,0.836877498150602,0.936382526069692
fin14b_s,19.0,0.29580880196691556,0.09305352994762384,0.0953941506030104,0.229183750363869,0.297871586709271,0.35672879579692396,0.463888571773812
fin13cw_s,13.0,0.32738255274458405,0.10083100779568162,0.124752950999188,0.258655899772678,0.294559863096066,0.417131070873644,0.460707476384402
fin13f_s,14.0,0.2988745664769242,0.11078043853699553,0.181653429815769,0.23408462523634074,0.263019972093891,0.31054843908345575,0.608622650398362
fin14a_s,20.0,0.30670234928563433,0.10045678054563908,0.114717808352216,0.23134984611155773,0.3024831132608615,0.3670143846949655,0.5483195901586
fin25e3lm_s,6.0,0.4521436471825903,0.19083014670037857,0.147057994481862,0.3451689200410925,0.5429425829297154,0.5846049783265117,0.602181913550587
fin13aw_s,11.0,0.2846521666269473,0.09039189391930952,0.102426231131402,0.22916075939688801,0.308721240211677,0.3473316381541365,0.411756996186282
